"n","lambda","adj_x_bar","KLD","BC","Fc","eta_x_R_plus","derrorAB_dn","derrorBC_dn","x_bar"
6,5,100,13.1847574244739,0.578698397279716,0.971637632969561,0.353618194411979,0.179370678316564,-0.0557154325897291,96.8784657235031
6.5,5,100,Inf,0.557343049139485,0.976701678897609,0.44222022308195,0.168171378342419,-0.0593922957959533,94.7978981722095
7,5,100,Inf,0.526118125892048,0.981401564844871,0.561275929294769,0.165951106714966,-0.0701416182961913,94.0143014916774
7.5,5,100,Inf,0.515237894377135,0.982760595935678,0.573835405021723,0.152590276026406,-0.064669601372008,99.3432001408133
8,5,100,Inf,0.498156224892339,0.987044162280127,0.775534272921783,0.1579106097913,-0.0902252494677923,98.2358686002395
8.5,5,100,Inf,0.485628005897038,0.988912430542444,0.899706290333251,0.15004086348396,-0.0866405118398488,99.1335652852655
9,5,100,Inf,0.444774146667835,0.990221591121024,0.951387823797361,0.129208037406758,-0.0666265993991197,106.440427373343
9.5,5,100,Inf,0.450538564017858,0.990658899303974,1.10801059429665,0.132541813487122,-0.0879793652347722,95.7154793278335
10,5,100,Inf,0.451679043998936,0.990249293702064,1.12584278789846,0.118899236845019,-0.0718625597039022,90.2050218439347
1,10,100,0.0543983760751763,0.988364601447233,0.332090770980862,0.00496591245375318,0.329109827773867,-0.00140297935784971,100.12448679115
1.5,10,100,0.181407583984097,0.966235874119266,0.527897812843709,0.0111151891265646,0.352910484097107,-0.00739023583411062,100.599771330307
2,10,100,0.402520946613542,0.934529237009962,0.654808525384662,0.018809618664347,0.326026652827042,-0.00702505674943207,100.849621589625
2.5,10,100,0.964933916761994,0.884170608305411,0.774427089064816,0.0338332341522365,0.309786511798503,-0.0123216166580145,101.472901234658
3,10,100,1.56741566937379,0.844484364867401,0.831083026208456,0.0491198804820807,0.282241871180922,-0.0172020364015211,100.164498003856
3.5,10,100,2.11299707573435,0.808548832316591,0.866151366829651,0.0641354900411455,0.251322513393745,-0.0170189216688473,100.897739626985
4,10,100,3.10034581657575,0.763128223800726,0.897398374600924,0.0858471144175339,0.23270082221624,-0.0212346654231713,101.883847224811
4.5,10,100,3.84645609501338,0.732527533847404,0.912537792693315,0.103496100426038,0.205641794089494,-0.0193633591088216,100.810655735621
5,10,100,5.26123470311306,0.706793631621811,0.932648254922784,0.136424599604638,0.197301774393793,-0.028242392549589,101.502407064707
5.5,10,100,5.73725786352624,0.694007334559889,0.938187233323709,0.150549645403725,0.179184487092359,-0.0264821699134783,100.816496088443
6,10,100,7.0865973661485,0.662935431301382,0.947897025833392,0.185557678530399,0.167915962374449,-0.0299562855399713,98.0437052061667
6.5,10,100,9.51006517257079,0.623915023746787,0.960733982449232,0.242684050777936,0.161168824421973,-0.0344355107432886,100.819621066563
7,10,100,9.80638348360329,0.619611684346384,0.962161492880666,0.260580750435164,0.149427281491326,-0.0335266443832822,97.5824343192602
7.5,10,100,10.6989512081371,0.609007946815859,0.964622785170714,0.271799950119557,0.135792682767326,-0.0273006987856642,100.319302638356
8,10,100,15.4827292770256,0.565639739704758,0.975467175794974,0.378558893327093,0.136917794545888,-0.0396370253944784,105.034424429363
8.5,10,100,15.0720482885889,0.572490945199821,0.975220161097747,0.380829416287579,0.131320992041285,-0.0416548822777525,103.341248792544
9,10,100,Inf,0.549213113980646,0.980748806646927,0.505135362174113,0.1367882918346,-0.063979091638764,100.853821727481
9.5,10,100,Inf,0.543337110126452,0.979864339969792,0.501463263759968,0.128226476621265,-0.0605833919313473,97.0422728799999
10,10,100,Inf,0.518983822439217,0.983824583429193,0.57747295838039,0.113090082566221,-0.0454997245328587,105.324776013354
